State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Rajasthan,56.64,KTM,RC 390,"? 3,99,424.00",2016,216,Electric,70.49,Third,2020,Active,Dealer,"? 2,64,211.83",Tier 1
West Bengal,28.60,Kawasaki,Ninja 300,"? 1,48,025.00",2015,258,Petrol,34.53,Second,2021,Active,Individual,"? 1,16,341.50",Metro
Madhya Pradesh,20.84,Royal Enfield,Meteor 350,"? 3,71,689.00",2017,797,Petrol,41.04,Third,2023,Active,Individual,"? 2,01,442.56",Tier 3
Maharashtra,9.32,Kawasaki,Ninja 400,"? 2,15,843.00",2024,187,Petrol,33.49,Third,2024,Not Available,Dealer,"? 1,50,887.27",Metro
Maharashtra,31.57,Royal Enfield,Hunter 350,"? 1,49,995.00",2020,309,Hybrid,93.76,Third,2020,Expired,Individual,"? 70,595.68",Tier 3
Delhi,70.95,Royal Enfield,Meteor 350,"? 1,35,677.00",2024,706,Hybrid,92.94,Second,2024,Active,Individual,"? 69,640.30",Tier 1
Delhi,25.66,Royal Enfield,Hunter 350,"? 2,74,366.00",2017,627,Petrol,55.07,First,2017,Expired,Dealer,"? 2,11,887.68",Metro
Madhya Pradesh,37.83,Kawasaki,Ninja 300,"? 1,01,679.00",2016,593,Electric,87.72,First,2016,Expired,Dealer,"? 51,278.29",Tier 1
West Bengal,25.56,KTM,250 Duke,"? 3,70,456.00",2020,357,Hybrid,93.4,First,2020,Active,Individual,"? 2,85,118.20",Tier 3
Maharashtra,32.05,Hero,HF Deluxe,"? 1,74,191.00",2017,292,Hybrid,70.26,Third,2023,Expired,Dealer,"? 1,11,118.16",Tier 2
Delhi,16.39,Kawasaki,Vulcan S,"? 3,73,371.00",2019,382,Hybrid,98.75,First,2019,Active,Dealer,"? 1,93,837.42",Metro
Karnataka,49.58,Honda,Activa,"? 3,16,877.00",2019,793,Petrol,35.37,Third,2022,Active,Individual,"? 1,72,802.36",Tier 3
West Bengal,40.32,TVS,Sport,"? 2,13,681.00",2021,864,Petrol,54.62,First,2021,Active,Individual,"? 1,41,674.80",Metro
Punjab,14.07,TVS,Apache RTR 160,"? 1,33,805.00",2023,372,Electric,81.54,Second,2023,Expired,Individual,"? 75,051.13",Tier 1
Karnataka,77.22,Hero,Splendor Plus,"? 2,11,399.00",2023,530,Petrol,56.83,Second,2023,Expired,Individual,"? 95,030.83",Tier 2
Karnataka,32.95,Bajaj,Pulsar 150,"? 3,11,628.00",2015,508,Hybrid,60.06,First,2015,Active,Individual,"? 1,73,323.11",Tier 1
Maharashtra,45.36,Yamaha,Ray ZR,"? 1,67,945.00",2019,695,Petrol,43.72,First,2019,Not Available,Dealer,"? 73,557.17",Tier 2
Tamil Nadu,52.45,Royal Enfield,Interceptor 650,"? 1,12,747.00",2016,516,Hybrid,71.36,Third,2023,Expired,Dealer,"? 47,298.94",Tier 3
Punjab,36.67,Hero,Splendor Plus,"? 3,92,747.00",2016,290,Petrol,50.94,Second,2021,Active,Dealer,"? 1,58,485.92",Tier 3
Uttar Pradesh,48.73,Yamaha,Fascino 125,"? 3,38,831.00",2022,166,Electric,87.17,Second,2023,Not Available,Dealer,"? 1,96,061.24",Tier 1
Punjab,35.32,Bajaj,CT 100,"? 1,78,049.00",2021,520,Hybrid,87.18,First,2021,Expired,Dealer,"? 1,14,981.30",Tier 3
West Bengal,27.60,KTM,Duke 200,"? 3,98,287.00",2016,479,Hybrid,86.01,Third,2017,Active,Individual,"? 2,74,925.10",Metro
Rajasthan,65.48,TVS,Ronin,"? 1,37,017.00",2023,359,Electric,96.33,Third,2024,Active,Dealer,"? 79,347.72",Tier 1
Uttar Pradesh,50.78,Royal Enfield,Classic 350,"? 75,068.00",2023,565,Hybrid,87.87,Second,2024,Expired,Individual,"? 45,342.56",Tier 3
Karnataka,50.73,KTM,250 Duke,"? 3,30,157.00",2023,686,Hybrid,87.08,First,2023,Expired,Dealer,"? 2,08,574.66",Metro
Tamil Nadu,45.30,TVS,Ronin,"? 3,84,386.00",2019,430,Electric,87.44,Second,2024,Expired,Individual,"? 2,20,812.99",Tier 1
Delhi,66.77,TVS,Ronin,"? 3,64,764.00",2022,581,Electric,99.07,Second,2023,Active,Dealer,"? 1,48,449.00",Tier 1
Madhya Pradesh,62.05,KTM,RC 390,"? 2,33,560.00",2019,654,Petrol,51.72,First,2019,Not Available,Individual,"? 1,61,293.89",Tier 1
Karnataka,68.69,Honda,Shine,"? 2,69,277.00",2016,960,Hybrid,73.19,Third,2022,Expired,Individual,"? 1,91,053.38",Tier 3
Uttar Pradesh,17.20,KTM,125 Duke,"? 1,00,351.00",2019,923,Hybrid,79.1,First,2019,Active,Individual,"? 53,013.87",Tier 2
Delhi,76.14,Royal Enfield,Hunter 350,"? 3,02,081.00",2017,696,Hybrid,77.12,Second,2021,Not Available,Individual,"? 2,14,488.75",Tier 3
Rajasthan,61.36,Bajaj,Avenger 220,"? 76,803.00",2023,515,Electric,94.46,First,2023,Expired,Dealer,"? 45,609.78",Tier 2
Karnataka,15.65,Kawasaki,Ninja 400,"? 2,40,262.00",2020,330,Electric,85.51,First,2020,Active,Dealer,"? 1,32,803.73",Metro
Maharashtra,47.38,KTM,390 Adventure,"? 2,62,491.00",2024,635,Petrol,45.97,First,2024,Not Available,Individual,"? 2,01,684.49",Tier 3
West Bengal,33.54,TVS,NTorq 125,"? 1,88,250.00",2024,519,Electric,60.66,Second,2024,Not Available,Individual,"? 77,958.01",Tier 3
Delhi,36.80,TVS,Jupiter,"? 2,59,405.00",2015,947,Petrol,37.45,Second,2020,Active,Dealer,"? 1,58,828.49",Tier 1
Rajasthan,76.92,Honda,Dio,"? 1,03,418.00",2023,961,Hybrid,61.55,First,2023,Active,Dealer,"? 80,402.38",Tier 2
Gujarat,25.57,KTM,390 Adventure,"? 2,24,150.00",2018,759,Hybrid,67.48,Second,2020,Not Available,Dealer,"? 1,33,998.39",Tier 2
Karnataka,19.01,Bajaj,Dominar 400,"? 2,83,810.00",2016,435,Petrol,38.46,Second,2019,Active,Dealer,"? 1,33,101.51",Metro
Madhya Pradesh,77.54,Kawasaki,Versys 650,"? 2,67,705.00",2022,279,Electric,80.72,First,2022,Expired,Dealer,"? 1,22,729.96",Tier 1
Karnataka,67.42,Hero,Glamour,"? 3,56,042.00",2015,739,Hybrid,62.72,Second,2020,Active,Individual,"? 2,46,954.48",Tier 3
Tamil Nadu,77.59,KTM,125 Duke,"? 1,88,519.00",2019,719,Electric,80.76,First,2019,Expired,Individual,"? 88,738.40",Tier 1
Delhi,79.05,Bajaj,Dominar 400,"? 2,75,802.00",2017,254,Hybrid,79.96,Second,2020,Not Available,Individual,"? 1,28,595.97",Metro
Punjab,41.05,Yamaha,MT-15,"? 70,854.00",2016,953,Electric,68.04,First,2016,Not Available,Dealer,"? 46,261.22",Metro
Maharashtra,70.54,Hero,Xtreme 160R,"? 3,39,286.00",2021,201,Petrol,49.33,Second,2023,Expired,Dealer,"? 1,83,497.96",Tier 3
West Bengal,43.61,Bajaj,Pulsar 150,"? 77,767.00",2020,931,Electric,97.82,Third,2023,Not Available,Individual,"? 32,074.53",Metro
Madhya Pradesh,56.34,Honda,Unicorn,"? 2,73,211.00",2018,832,Petrol,56.17,Third,2020,Expired,Individual,"? 1,22,035.75",Tier 3
Karnataka,64.73,Honda,Unicorn,"? 93,378.00",2024,652,Hybrid,93.18,First,2024,Not Available,Individual,"? 47,741.69",Tier 3
West Bengal,36.94,Royal Enfield,Himalayan,"? 1,70,910.00",2024,211,Electric,61.91,Third,2024,Not Available,Individual,"? 1,03,132.98",Tier 2
Karnataka,44.45,Bajaj,Pulsar 150,"? 1,62,651.00",2018,431,Hybrid,96.12,First,2018,Expired,Individual,"? 91,618.92",Tier 3
Maharashtra,47.89,Bajaj,CT 100,"? 2,45,204.00",2020,244,Hybrid,88.92,First,2020,Expired,Individual,"? 1,10,531.96",Tier 1
West Bengal,37.13,KTM,250 Duke,"? 2,58,174.00",2020,841,Petrol,36.44,Third,2024,Expired,Dealer,"? 1,46,691.53",Tier 3
Maharashtra,65.71,KTM,390 Adventure,"? 2,74,493.00",2017,771,Hybrid,69.32,Third,2019,Expired,Dealer,"? 2,08,818.09",Tier 3
Karnataka,42.36,KTM,390 Adventure,"? 2,88,204.00",2016,641,Electric,66.27,Second,2022,Not Available,Dealer,"? 1,97,776.78",Tier 1
West Bengal,66.60,Hero,Glamour,"? 1,38,595.00",2016,538,Hybrid,87.12,First,2016,Expired,Dealer,"? 69,616.53",Tier 3
Uttar Pradesh,15.98,Hero,HF Deluxe,"? 2,69,366.00",2024,400,Petrol,27.79,First,2024,Active,Individual,"? 1,45,505.07",Metro
Tamil Nadu,18.64,Yamaha,MT-15,"? 1,85,605.00",2017,603,Hybrid,88.46,Third,2022,Expired,Individual,"? 85,728.06",Metro
Rajasthan,20.82,KTM,390 Adventure,"? 3,03,416.00",2023,718,Hybrid,74.1,First,2023,Active,Individual,"? 1,57,281.93",Tier 2
Karnataka,74.93,Kawasaki,Ninja 300,"? 70,806.00",2018,473,Electric,82.97,Second,2021,Not Available,Individual,"? 43,484.10",Metro
Karnataka,39.72,Bajaj,Pulsar 150,"? 3,81,773.00",2017,821,Hybrid,61.34,Third,2021,Active,Individual,"? 2,18,593.41",Tier 3
Karnataka,51.67,KTM,390 Adventure,"? 1,76,529.00",2021,243,Electric,71.88,Third,2021,Expired,Dealer,"? 76,436.96",Tier 2
Gujarat,76.95,Yamaha,FZ V3,"? 3,65,910.00",2022,656,Hybrid,94.18,Third,2024,Not Available,Individual,"? 1,80,553.32",Tier 1
Karnataka,28.34,KTM,Duke 200,"? 2,41,646.00",2024,390,Hybrid,72.21,Second,2024,Not Available,Dealer,"? 97,027.78",Tier 2
Rajasthan,21.39,Royal Enfield,Interceptor 650,"? 1,42,945.00",2019,190,Hybrid,73.16,Second,2020,Not Available,Individual,"? 81,802.72",Tier 1
Maharashtra,13.87,TVS,Apache RTR 160,"? 1,27,183.00",2023,286,Hybrid,81.86,Third,2023,Expired,Dealer,"? 87,580.71",Tier 1
Gujarat,30.29,Honda,Activa,"? 2,03,623.00",2018,640,Petrol,47.6,Second,2022,Expired,Individual,"? 1,04,437.95",Tier 3
Punjab,47.58,Kawasaki,Z650,"? 3,50,436.00",2016,783,Hybrid,80.04,Third,2022,Active,Individual,"? 2,09,018.31",Metro
Uttar Pradesh,13.28,Bajaj,Avenger 220,"? 60,422.00",2022,855,Hybrid,69.41,Third,2024,Active,Individual,"? 37,439.43",Tier 1
Karnataka,45.75,Kawasaki,Ninja 300,"? 1,21,141.00",2024,773,Hybrid,84.92,Second,2024,Active,Dealer,"? 67,014.18",Metro
Tamil Nadu,32.82,Hero,Passion Pro,"? 3,70,501.00",2019,950,Electric,82.01,Second,2019,Not Available,Dealer,"? 1,53,246.94",Tier 1
Tamil Nadu,67.25,Yamaha,Ray ZR,"? 3,38,354.00",2018,971,Petrol,34.95,First,2018,Expired,Individual,"? 2,16,642.30",Tier 3
West Bengal,11.12,Kawasaki,Z650,"? 2,33,705.00",2018,869,Petrol,25.35,First,2018,Expired,Individual,"? 1,20,190.60",Tier 2
Tamil Nadu,36.32,KTM,RC 390,"? 1,30,071.00",2021,131,Electric,87.36,Third,2023,Active,Dealer,"? 83,183.40",Tier 1
Madhya Pradesh,46.30,Hero,Glamour,"? 2,71,959.00",2017,825,Petrol,41.92,First,2017,Not Available,Dealer,"? 1,70,714.74",Tier 2
Maharashtra,42.89,Honda,Activa,"? 1,46,782.00",2019,697,Electric,65.71,First,2019,Expired,Individual,"? 1,16,707.21",Tier 3
Rajasthan,12.37,KTM,Duke 200,"? 2,78,881.00",2023,298,Petrol,35.77,Second,2023,Not Available,Dealer,"? 2,03,228.28",Tier 2
Tamil Nadu,33.74,Honda,Activa,"? 3,87,696.00",2020,728,Electric,63.62,First,2020,Active,Dealer,"? 2,48,650.31",Tier 1
Punjab,20.62,Kawasaki,Z650,"? 53,111.00",2021,330,Hybrid,70.99,First,2021,Active,Dealer,"? 36,172.87",Tier 3
Punjab,14.47,KTM,250 Duke,"? 2,94,491.00",2024,729,Petrol,27.17,Third,2024,Expired,Individual,"? 1,47,247.44",Tier 1
Delhi,39.06,Honda,CBR 650R,"? 2,44,338.00",2017,890,Hybrid,93.68,First,2017,Expired,Dealer,"? 1,05,547.93",Tier 1
West Bengal,47.47,Bajaj,Dominar 400,"? 1,06,027.00",2020,878,Electric,64.33,Third,2021,Not Available,Individual,"? 48,946.70",Tier 1
Tamil Nadu,47.82,Bajaj,Pulsar 150,"? 2,62,059.00",2018,674,Electric,83.2,Second,2023,Not Available,Individual,"? 1,58,611.79",Tier 3
Punjab,52.45,Hero,HF Deluxe,"? 1,60,474.00",2015,919,Electric,76.03,Third,2022,Not Available,Dealer,"? 84,888.54",Tier 1
Delhi,37.82,TVS,Jupiter,"? 3,99,947.00",2024,280,Electric,93.53,Third,2024,Not Available,Individual,"? 2,63,792.36",Tier 2
Gujarat,70.61,KTM,250 Duke,"? 2,18,063.00",2023,897,Hybrid,96.16,First,2023,Not Available,Individual,"? 1,02,800.01",Metro
Maharashtra,45.46,Hero,Glamour,"? 2,34,631.00",2020,463,Hybrid,87.74,First,2020,Not Available,Dealer,"? 1,78,336.16",Tier 1
Uttar Pradesh,76.81,Honda,CBR 650R,"? 3,58,685.00",2016,928,Petrol,31.11,Third,2021,Not Available,Dealer,"? 2,86,753.77",Tier 1
Tamil Nadu,22.16,Honda,CBR 650R,"? 3,48,235.00",2019,371,Hybrid,90.75,First,2019,Active,Individual,"? 1,85,857.29",Metro
Uttar Pradesh,11.64,Hero,Splendor Plus,"? 1,92,226.00",2023,184,Petrol,45.22,Third,2024,Not Available,Individual,"? 1,43,342.39",Tier 3
Maharashtra,7.90,KTM,390 Adventure,"? 2,72,350.00",2022,252,Electric,85.85,Third,2024,Expired,Dealer,"? 1,81,409.72",Tier 2
Uttar Pradesh,30.53,KTM,125 Duke,"? 3,02,101.00",2019,682,Petrol,29,Third,2019,Active,Dealer,"? 1,23,879.97",Tier 1
Karnataka,22.21,Kawasaki,Ninja 400,"? 2,72,238.00",2017,844,Petrol,47.18,Third,2018,Expired,Individual,"? 2,14,272.65",Tier 3
Punjab,12.69,KTM,Duke 200,"? 54,432.00",2017,791,Electric,75.59,First,2017,Active,Dealer,"? 31,954.88",Tier 3
Maharashtra,38.46,Yamaha,FZ V3,"? 2,19,420.00",2015,520,Petrol,33.49,Second,2015,Active,Dealer,"? 1,23,518.34",Metro
Maharashtra,51.79,TVS,Jupiter,"? 2,25,319.00",2015,556,Hybrid,76.8,Third,2019,Expired,Dealer,"? 1,03,128.90",Metro
Gujarat,78.73,Yamaha,FZ V3,"? 82,411.00",2024,935,Hybrid,86.76,Third,2024,Expired,Dealer,"? 45,607.08",Tier 2
Tamil Nadu,23.46,KTM,RC 390,"? 52,478.00",2016,553,Electric,78.12,Second,2021,Expired,Dealer,"? 23,506.38",Metro
Gujarat,16.89,Bajaj,Platina 110,"? 3,14,409.00",2020,490,Petrol,32.69,Second,2022,Expired,Individual,"? 1,52,029.42",Tier 1
Tamil Nadu,56.89,TVS,Jupiter,"? 1,35,451.00",2021,121,Petrol,50.99,Third,2024,Not Available,Dealer,"? 75,823.25",Tier 2
Punjab,30.51,Yamaha,Ray ZR,"? 1,61,169.00",2016,542,Hybrid,60.34,First,2016,Expired,Dealer,"? 1,15,123.89",Tier 3
Punjab,72.50,Honda,CBR 650R,"? 1,30,042.00",2023,204,Petrol,40.29,Second,2024,Expired,Individual,"? 81,080.64",Metro
Gujarat,40.19,KTM,125 Duke,"? 3,41,492.00",2024,428,Electric,84.84,Second,2024,Expired,Dealer,"? 1,91,932.03",Tier 3
Gujarat,77.75,Bajaj,Pulsar 150,"? 1,02,635.00",2024,791,Electric,80.34,Third,2024,Expired,Individual,"? 79,078.91",Tier 1
Madhya Pradesh,19.31,KTM,250 Duke,"? 1,10,759.00",2019,364,Petrol,53.27,Third,2023,Not Available,Dealer,"? 84,368.94",Tier 1
Uttar Pradesh,57.13,TVS,Sport,"? 2,90,735.00",2023,994,Hybrid,62.39,First,2023,Not Available,Dealer,"? 1,81,971.77",Tier 3
Maharashtra,33.33,Kawasaki,Vulcan S,"? 1,33,384.00",2021,868,Hybrid,92.2,Second,2022,Expired,Individual,"? 67,342.32",Tier 3
Delhi,6.23,KTM,125 Duke,"? 89,699.00",2021,783,Electric,93.92,First,2021,Expired,Dealer,"? 43,131.88",Tier 1
Uttar Pradesh,56.06,Kawasaki,Versys 650,"? 1,23,347.00",2020,214,Petrol,27.93,Second,2023,Not Available,Dealer,"? 65,008.12",Metro
Karnataka,62.86,Kawasaki,Ninja 300,"? 2,07,047.00",2020,248,Hybrid,88.33,First,2020,Expired,Dealer,"? 1,34,135.64",Tier 1
West Bengal,9.94,Royal Enfield,Interceptor 650,"? 2,25,007.00",2016,260,Petrol,31.8,Second,2022,Expired,Dealer,"? 1,06,826.92",Tier 2
Rajasthan,66.41,Honda,Dio,"? 1,66,857.00",2015,805,Electric,88.38,First,2015,Active,Dealer,"? 1,12,614.08",Tier 2
Karnataka,11.76,Yamaha,R15 V4,"? 79,000.00",2021,546,Electric,72.16,First,2021,Expired,Individual,"? 34,751.45",Tier 2
Delhi,34.48,Yamaha,Ray ZR,"? 1,41,709.00",2022,377,Hybrid,87.17,Third,2022,Active,Individual,"? 80,373.16",Tier 1
Tamil Nadu,61.93,Royal Enfield,Himalayan,"? 3,99,395.00",2023,343,Petrol,56.21,Third,2024,Active,Individual,"? 1,78,330.50",Metro
Gujarat,25.62,Bajaj,Avenger 220,"? 1,77,346.00",2017,352,Hybrid,84.76,Second,2017,Not Available,Dealer,"? 71,646.38",Metro
Rajasthan,49.08,Hero,Splendor Plus,"? 1,52,392.00",2023,553,Hybrid,78.84,Second,2024,Not Available,Individual,"? 84,385.53",Tier 3
West Bengal,58.16,Yamaha,Fascino 125,"? 2,63,406.00",2021,924,Electric,96.11,Second,2022,Not Available,Individual,"? 1,17,006.97",Tier 2
Madhya Pradesh,8.89,Kawasaki,Versys 650,"? 2,37,648.00",2020,472,Electric,82.41,Third,2023,Expired,Individual,"? 1,85,487.79",Tier 2
Rajasthan,74.62,Kawasaki,Z650,"? 1,93,414.00",2023,124,Petrol,50.14,Third,2023,Active,Dealer,"? 87,290.44",Metro
Maharashtra,23.01,Kawasaki,Ninja 400,"? 2,65,123.00",2017,591,Petrol,57.37,First,2017,Active,Dealer,"? 1,63,847.29",Metro
Rajasthan,61.81,Hero,HF Deluxe,"? 3,08,713.00",2024,402,Electric,96.26,Third,2024,Not Available,Individual,"? 2,29,702.91",Tier 2
Delhi,27.55,Bajaj,Platina 110,"? 1,39,029.00",2017,820,Petrol,53.94,Second,2019,Expired,Individual,"? 92,061.05",Tier 1
Rajasthan,41.82,KTM,250 Duke,"? 1,89,781.00",2021,935,Petrol,39.3,Third,2021,Expired,Dealer,"? 1,03,019.67",Tier 3
Madhya Pradesh,62.48,Kawasaki,Versys 650,"? 1,99,105.00",2022,652,Electric,77.5,First,2022,Expired,Individual,"? 1,25,795.20",Tier 1
Maharashtra,69.94,Kawasaki,Versys 650,"? 2,27,378.00",2019,963,Electric,65.74,Third,2023,Active,Individual,"? 1,57,371.56",Tier 2
Maharashtra,21.05,KTM,250 Duke,"? 3,10,277.00",2022,417,Hybrid,69.05,First,2022,Expired,Dealer,"? 1,50,081.69",Metro
Maharashtra,67.27,Bajaj,Dominar 400,"? 3,69,444.00",2018,724,Petrol,25.5,Second,2019,Expired,Individual,"? 2,43,530.84",Tier 3
Madhya Pradesh,38.28,TVS,Jupiter,"? 3,96,323.00",2018,417,Electric,97.58,Third,2024,Active,Individual,"? 1,74,281.33",Tier 3
Uttar Pradesh,53.67,Hero,Xtreme 160R,"? 2,42,978.00",2016,325,Hybrid,65.85,Second,2016,Active,Individual,"? 1,13,244.12",Tier 1
Tamil Nadu,66.60,Bajaj,Platina 110,"? 2,15,250.00",2017,968,Petrol,30.1,Third,2022,Active,Individual,"? 1,30,107.12",Tier 1
Punjab,64.23,KTM,Duke 200,"? 2,19,945.00",2015,122,Petrol,38.85,Second,2019,Not Available,Individual,"? 1,42,909.93",Tier 2
Maharashtra,68.78,Royal Enfield,Classic 350,"? 3,58,443.00",2018,345,Hybrid,88.93,Second,2024,Expired,Dealer,"? 2,00,632.66",Tier 3
Karnataka,74.58,Honda,Activa,"? 1,95,672.00",2019,837,Hybrid,99.31,Second,2022,Expired,Dealer,"? 1,45,255.31",Metro
Maharashtra,58.25,TVS,NTorq 125,"? 1,12,087.00",2017,576,Electric,84.05,Third,2023,Expired,Dealer,"? 61,075.17",Tier 1
Uttar Pradesh,20.86,TVS,Sport,"? 1,97,119.00",2018,201,Hybrid,86.91,First,2018,Expired,Dealer,"? 91,158.66",Tier 1
Madhya Pradesh,19.99,Royal Enfield,Meteor 350,"? 64,802.00",2018,107,Electric,81.27,Third,2024,Not Available,Individual,"? 28,264.55",Tier 3
Rajasthan,26.18,Bajaj,CT 100,"? 68,000.00",2021,109,Electric,63.74,Second,2023,Active,Dealer,"? 30,586.37",Tier 1
Madhya Pradesh,24.52,Kawasaki,Ninja 300,"? 1,68,650.00",2017,465,Petrol,58.83,First,2017,Active,Individual,"? 72,904.40",Tier 2
Rajasthan,71.56,TVS,NTorq 125,"? 2,47,338.00",2024,715,Electric,91.15,Third,2024,Active,Individual,"? 1,73,656.85",Metro
Tamil Nadu,20.45,Hero,Splendor Plus,"? 3,78,425.00",2019,841,Petrol,52.39,Second,2021,Not Available,Individual,"? 1,62,500.49",Metro
Madhya Pradesh,16.21,Hero,HF Deluxe,"? 54,587.00",2022,887,Hybrid,93.46,Second,2024,Not Available,Individual,"? 28,706.83",Tier 1
Tamil Nadu,59.60,Kawasaki,Ninja 300,"? 1,12,352.00",2021,327,Petrol,38.2,Third,2024,Not Available,Individual,"? 71,251.41",Tier 3
Delhi,17.40,TVS,Sport,"? 2,57,083.00",2015,691,Petrol,41.6,First,2015,Active,Dealer,"? 1,58,182.16",Tier 3
West Bengal,9.17,Honda,Dio,"? 1,17,032.00",2024,265,Electric,90.18,Third,2024,Not Available,Individual,"? 81,219.18",Tier 1
Rajasthan,46.36,Royal Enfield,Classic 350,"? 83,246.00",2019,975,Petrol,39.31,Third,2021,Not Available,Dealer,"? 64,810.36",Tier 1
Uttar Pradesh,50.73,Kawasaki,Ninja 300,"? 1,30,066.00",2022,539,Electric,62.28,Second,2024,Active,Individual,"? 66,426.77",Tier 1
Maharashtra,63.18,Yamaha,R15 V4,"? 2,78,282.00",2024,794,Petrol,40.77,First,2024,Expired,Dealer,"? 1,17,164.19",Tier 3
Gujarat,43.41,TVS,Jupiter,"? 2,35,565.00",2019,547,Hybrid,83.24,Third,2023,Not Available,Dealer,"? 1,53,002.06",Tier 1
Karnataka,6.59,KTM,390 Adventure,"? 2,18,257.00",2019,344,Petrol,48.37,Second,2020,Active,Individual,"? 1,39,074.96",Metro
Rajasthan,34.74,Yamaha,MT-15,"? 3,65,853.00",2023,154,Hybrid,69.35,Second,2023,Active,Individual,"? 2,77,049.78",Tier 1
Gujarat,13.03,Kawasaki,Versys 650,"? 3,65,838.00",2019,669,Hybrid,77.57,First,2019,Not Available,Individual,"? 2,34,660.41",Tier 1
Karnataka,5.65,Bajaj,CT 100,"? 3,61,526.00",2019,208,Hybrid,92.44,Second,2024,Not Available,Dealer,"? 2,59,264.05",Tier 2
Maharashtra,16.54,Hero,Glamour,"? 3,30,747.00",2022,487,Hybrid,71.73,First,2022,Expired,Individual,"? 2,44,730.04",Tier 1
Punjab,41.52,Bajaj,CT 100,"? 2,91,806.00",2015,517,Hybrid,89.5,First,2015,Not Available,Individual,"? 1,87,276.82",Tier 3
Maharashtra,6.90,Bajaj,Pulsar 150,"? 1,60,049.00",2020,310,Hybrid,92.48,First,2020,Not Available,Dealer,"? 73,315.98",Tier 3
Rajasthan,12.32,Yamaha,R15 V4,"? 1,68,326.00",2018,847,Electric,88.79,Third,2023,Not Available,Dealer,"? 81,070.11",Metro
Rajasthan,77.61,Honda,Dio,"? 2,52,818.00",2021,596,Petrol,29.01,First,2021,Expired,Dealer,"? 1,75,623.86",Tier 3
Karnataka,70.84,TVS,Jupiter,"? 3,67,054.00",2017,624,Electric,80.88,Third,2018,Active,Individual,"? 2,19,320.14",Tier 2
West Bengal,17.56,TVS,Apache RTR 160,"? 2,16,866.00",2016,995,Electric,75.62,Second,2017,Not Available,Dealer,"? 1,15,909.81",Tier 2
Tamil Nadu,56.42,Honda,Shine,"? 2,07,384.00",2020,690,Electric,92.26,First,2020,Active,Dealer,"? 1,65,374.15",Tier 3
Tamil Nadu,67.95,KTM,RC 390,"? 2,00,700.00",2019,148,Petrol,33.1,Third,2019,Expired,Dealer,"? 82,445.48",Tier 3
Maharashtra,9.23,KTM,390 Adventure,"? 3,22,699.00",2021,478,Electric,90.53,Third,2024,Active,Individual,"? 2,55,970.46",Tier 3
Delhi,68.53,Hero,Splendor Plus,"? 2,85,679.00",2024,318,Petrol,31.07,Second,2024,Expired,Individual,"? 1,17,592.57",Metro
Punjab,37.17,Kawasaki,Ninja 300,"? 3,33,795.00",2019,916,Electric,93.24,First,2019,Expired,Dealer,"? 2,66,137.07",Tier 1
Punjab,20.77,Hero,Splendor Plus,"? 2,34,756.00",2018,708,Hybrid,66,Second,2024,Not Available,Individual,"? 1,78,216.21",Metro
Punjab,38.83,KTM,Duke 200,"? 2,21,918.00",2018,287,Petrol,27.25,First,2018,Active,Dealer,"? 90,244.43",Tier 2
Punjab,25.76,Royal Enfield,Classic 350,"? 1,24,143.00",2017,413,Electric,92.26,First,2017,Active,Dealer,"? 90,106.03",Tier 3
West Bengal,54.45,Yamaha,Fascino 125,"? 2,39,514.00",2020,642,Petrol,39.64,Second,2020,Active,Individual,"? 1,00,321.32",Tier 2
Madhya Pradesh,50.84,Kawasaki,Z650,"? 2,07,443.00",2021,287,Electric,75.41,Third,2024,Not Available,Dealer,"? 98,515.44",Metro
Gujarat,8.98,Honda,CBR 650R,"? 2,47,081.00",2020,199,Petrol,44.21,First,2020,Active,Dealer,"? 1,15,819.60",Tier 2
Delhi,58.86,TVS,Apache RTR 160,"? 2,48,274.00",2018,714,Hybrid,95.79,Second,2018,Expired,Individual,"? 1,26,642.89",Tier 1
Uttar Pradesh,58.17,Kawasaki,Z650,"? 1,09,723.00",2018,252,Electric,68.76,Third,2019,Not Available,Dealer,"? 86,593.88",Tier 1
Tamil Nadu,54.18,Royal Enfield,Himalayan,"? 3,26,969.00",2022,243,Petrol,28.74,Third,2022,Not Available,Individual,"? 2,37,293.43",Tier 3
Rajasthan,44.47,TVS,Ronin,"? 2,06,799.00",2022,111,Hybrid,71.31,Third,2022,Not Available,Dealer,"? 1,47,995.37",Tier 3
Rajasthan,74.51,Kawasaki,Ninja 300,"? 2,02,113.00",2018,624,Hybrid,85.58,Second,2020,Not Available,Individual,"? 1,04,235.21",Tier 1
Madhya Pradesh,18.99,Honda,Unicorn,"? 3,60,048.00",2016,950,Hybrid,85.28,Third,2019,Active,Individual,"? 2,02,920.32",Tier 1
Uttar Pradesh,14.89,Honda,CBR 650R,"? 3,56,770.00",2022,263,Electric,70.98,Second,2024,Expired,Individual,"? 2,23,247.75",Tier 1
Gujarat,68.15,Yamaha,R15 V4,"? 3,91,926.00",2020,767,Electric,87.19,First,2020,Not Available,Dealer,"? 2,91,269.32",Tier 3
Tamil Nadu,5.93,Yamaha,MT-15,"? 3,83,747.00",2020,569,Hybrid,81.77,Third,2022,Not Available,Dealer,"? 2,97,382.68",Tier 3
